id,grupo,classe,ordem,familia,subfamilia,tribo,genero,binomio,binomio_autor,nome_comum,dieta,locomocao,distribuicao_estado,distribuicao,endemismo,iucn_2025,iucn_rationale,cites_2025,salve_2023,mma_2022,copam_2010,iema_2022,semil_2018,sedest_2024,consema_ma_2025,sema_ba_2017,consema_sc_2011,gov_rs_2014,sema_ce_2022,foto_inat,link_inat
1,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Caluromyinae,,Caluromys,Caluromys philander,"Caluromys (Caluromys) philander (Linnaeus, 1758)","cuíca, cuíca-lanosa, mucura-chichica, mucura-xixica",Fr/On,Ar,"Acre, Alagoas, Amapá, Amazonas, Bahia, Ceará, Espírito Santo, Goiás, Maranhão, Minas Gerais, Mato Grosso, Mato Grosso do Sul, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rondônia, Roraima, Santa Catarina, São Paulo, Sergipe, Tocantins","Amazônia, Cerrado, Mata Atlântica, Pantanal",Mata Atlântica,LC,"Esta espécie está listada como de Menor Preocupação devido à sua ampla distribuição, presumida grande população, ocorrência em várias áreas protegidas e porque é improvável que esteja em declínio próximo à taxa necessária para se qualificar para a inclusão em uma categoria ameaçada. Algumas subpopulações desta espécie estão ameaçadas pela perda de habitat florestal, pois é arborícola e confinada à floresta.",-,-,-,-,-,-,DD,-,-,-,-,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/17376248/medium.jpeg,https://www.inaturalist.org/taxa/42557
2,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Caluromyinae,,Caluromys,Caluromys lanatus,"Caluromys (Mallodelphys) lanatus (Olfers, 1818)","cuíca-lanosa, cuíca, gambazinho",Fr/On,Ar,"Acre, Amazonas, Bahia, Distrito Federal, Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraná, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Tocantins","Amazônia, Cerrado, Mata Atlântica, Pantanal",-,LC,"Esta espécie é listada como Preocupação Menor devido à sua ampla distribuição, presumida grande população, ocorrência em várias áreas protegidas e porque é improvável que esteja em declínio próximo à taxa necessária para se qualificar para a inclusão em uma categoria ameaçada. Algumas subpopulações desta espécie estão ameaçadas pela perda de habitat florestal, pois é arborícola e confinada à floresta.",-,-,-,-,-,-,DD,-,-,-,-,-,https://static.inaturalist.org/photos/68216/medium.JPG,https://www.inaturalist.org/taxa/42543
3,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Caluromyinae,,Caluromysiops,Caluromysiops irrupta,"Caluromysiops irrupta Sanborn, 1951","cuíca-de-colete, cuíca",Fr/On,Ar,"Mato Grosso, Rondônia",Amazônia,-,LC,"Esta espécie é listada como de Menor Preocupação devido à sua distribuição relativamente ampla, presença observada em áreas florestais protegidas contínuas dentro de sua área peruana e a inferição de grande população global. Algumas subpopulações dessa espécie estão em declínio devido à perda de habitats florestais.",-,-,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/604685581/medium.jpg,https://www.inaturalist.org/taxa/42615
4,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Didelphini,Chironectes,Chironectes minimus,"Chironectes minimus (Zimmermann, 1780)","cuíca-d’água, gambá d’água,  mucura d’água, chichica d’água",Ps,SA,"Acre, Amapá, Amazonas, Bahia, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraná, Rio de Janeiro, Rio Grande do Sul, Rondônia, Santa Catarina, São Paulo, Tocantins","Amazônia, Cerrado, Mata Atlântica, Pampa, Pantanal",Amazônia,LC,"Esta espécie está listada como de Menor Preocupação devido à sua ampla distribuição, presumida grande população, ocorrência em várias áreas protegidas e porque é improvável que esteja em declínio próximo à taxa necessária para se qualificar para a inclusão em uma categoria ameaçada. As populações dessa espécie estão ameaçadas pelo desmatamento, contaminação e deterioração dos ecossistemas de água doce.",-,-,-,VU,EN,-,LC,-,-,VU,VU,-,https://inaturalist-open-data.s3.amazonaws.com/photos/2659757/medium.jpg,https://www.inaturalist.org/taxa/42700
5,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Didelphini,Didelphis,Didelphis albiventris,"Didelphis albiventris Lund, 1840","gambá-de-orelha-branca, gambá, raposa, saruê, seriguê, micurê",Fr/On,Sc,"Acre, Alagoas, Bahia, Ceará, Distrito Federal, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio Grande do Norte, Rio Grande do Sul, Rondônia, Santa Catarina, São Paulo, Sergipe, Tocantins","Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal",Amazônia,LC,"Esta espécie é listada como de Menor Preocupação devido à sua ampla distribuição, presumida grande população, tolerância a algum grau de modificação do habitat, ocorrência em várias áreas protegidas e porque é improvável que esteja diminuindo em ritmo próximo ao necessário para se qualificar para a inclusão em uma categoria ameaçada.",-,-,-,-,-,-,LC,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/97298742/medium.jpeg,https://www.inaturalist.org/taxa/42658
6,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Didelphini,Didelphis,Didelphis aurita,"Didelphis aurita Wied-Neuwied, 1826","gambá-de-orelha-preta, gambá, raposa, saruê, seriguê",Fr/On,Sc,"Alagoas, Bahia, Espírito Santo, Mato Grosso do Sul, Minas Gerais, Paraíba, Paraná, Pernambuco, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo",Mata Atlântica,-,LC,"Esta espécie está listada como de Menor Preocupação devido à sua ampla distribuição, presumida população grande, tolerância a modificação do habitat, ocorrência em várias áreas protegidas e porque é improvável que esteja diminuindo em ritmo próximo ao necessário para se qualificar para a inclusão em uma categoria ameaçada. Embora tenha sido caçada ou capturada localmente para alimento, esporte e como predadora de aves, essa espécie não parece ter sido afetada negativamente pelo assentamento humano (Nowak 1999). A caça comercial para o comércio de peles não parece ter muito impacto.",-,-,-,-,-,-,LC,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/9872295/medium.jpeg,https://www.inaturalist.org/taxa/42657
7,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Didelphini,Didelphis,Didelphis imperfecta,"Didelphis imperfecta Mondolfi & Pérez-Hernández, 1984","gambá, saruê, mucura",Fr/On,Sc,"Amapá, Amazonas, Pará, Roraima",Amazônia,Amazônia,LC,"Esta espécie está listada como Preocupação Menor devido à sua ampla distribuição, ocorrência em áreas protegidas, presumida grande população global e porque não há informações sobre declínios populacionais significativos.",-,-,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/493815153/medium.jpg,https://www.inaturalist.org/taxa/42647
8,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Didelphini,Didelphis,Didelphis marsupialis,"Didelphis marsupialis Linnaeus, 1758","gambá-de-orelha-preta, saruê, mucura",Fr/On,Sc,"Acre, Amapá, Amazonas, Maranhão, Mato Grosso, Pará, Rondônia, Roraima, Tocantins",Amazônia,Amazônia,LC,"Esta espécie está listada como de Menor Preocupação devido à sua ampla distribuição, presumida população grande, tolerância a modificação do habitat, ocorrência em várias áreas protegidas e porque é improvável que esteja diminuindo em ritmo próximo ao necessário para se qualificar para a inclusão em uma categoria ameaçada. Embora tenha sido caçada ou capturada localmente para alimento, esporte e como predadora de aves, a espécie não parece ter sido afetada negativamente pelo assentamento humano. A caça comercial para o comércio de peles não parece ter muito impacto.",-,-,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/35041373/medium.jpeg,https://www.inaturalist.org/taxa/42652
9,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Didelphini,Lutreolina,Lutreolina crassicaudata,"Lutreolina crassicaudata (Desmarest, 1804)","cuíca-marrom, cuíca-de-cauda-grossa, cuíca-d'água-pequena, cuíca",Ps,Te,"Mato Grosso do Sul, Minas Gerais, Rio de Janeiro, Paraná, Rio Grande do Sul, Santa Catarina, São Paulo","Mata Atlântica, Cerrado, Pampa, Pantanal","Brasil, Amazônia",LC,"Esta espécie está listada como Preocupação Menor devido à sua ampla distribuição, presumida grande população e porque é improvável que esteja em declínio próximo à taxa necessária para se qualificar para a inclusão em uma categoria ameaçada.",-,-,-,-,-,-,DD,-,-,VU,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/216572445/medium.jpg,https://www.inaturalist.org/taxa/852377
10,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Didelphini,Philander,Philander andersoni,"Philander andersoni (Osgood, 1913)",cuíca-de-quatro-olhos,In/On,Sc,Amazonas,Amazônia,-,LC,"Esta espécie está listada como de Menor Preocupação devido à sua ampla distribuição, presumida grande população, sua ocorrência em várias áreas protegidas e porque é improvável que esteja diminuindo em uma taxa próxima à necessária para se qualificar para a inclusão em uma categoria ameaçada.",-,-,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/65353564/medium.jpeg,https://www.inaturalist.org/taxa/42582
